"path","name","id","kind","extension","size","mimeType","webViewLink"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./02. Muro.","01. Muro 3.50 m_2025..xlsm","14N1Smr89lnfaYs7dO3i39qhze6lJRzr8","file","xlsm","229191","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://docs.google.com/spreadsheets/d/14N1Smr89lnfaYs7dO3i39qhze6lJRzr8/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"ESTRUCTURAS_ESTUDIO","03. Planos.","1nd8la42qMSG83UMZ7-eO4ehV3DfdRLgm","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1nd8la42qMSG83UMZ7-eO4ehV3DfdRLgm"
"ESTRUCTURAS_ESTUDIO/03. Planos.","01. Alcantarillas MCA.","1fXaGiRlL4liygNWZ97EpfOYcrpf6_V3K","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1fXaGiRlL4liygNWZ97EpfOYcrpf6_V3K"
"ESTRUCTURAS_ESTUDIO/03. Planos./01. Alcantarillas MCA.","1.- ALC.MCA_2025..dwg","1LfN5JMmJknJv-ToI_ZGTYbtYYjc7Edtu","file","dwg","8238933","image/vnd.dwg","https://drive.google.com/file/d/1LfN5JMmJknJv-ToI_ZGTYbtYYjc7Edtu/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/03. Planos./01. Alcantarillas MCA.","1.- ALC.MCA_2025..pdf","1fPtK38bwTx8KG4pQlXyRxlhN_Aselk2G","file","pdf","2382264","application/pdf","https://drive.google.com/file/d/1fPtK38bwTx8KG4pQlXyRxlhN_Aselk2G/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/03. Planos.","02. Muros.","1jhIEDbXnRxXEAY-GLeHiBREoQB1iARRm","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1jhIEDbXnRxXEAY-GLeHiBREoQB1iARRm"
"ESTRUCTURAS_ESTUDIO/03. Planos./02. Muros.","01.Muro_Planta Perfil-muro..pdf","18Ep-y9T-DGbVzTbS-1BQmF3zonjz8Svs","file","pdf","574484","application/pdf","https://drive.google.com/file/d/18Ep-y9T-DGbVzTbS-1BQmF3zonjz8Svs/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/03. Planos./02. Muros.","01.Muro_Planta Perfil-muro_2..pdf","1wZVNbjyeoVP_XsGfgR3M5fcaXLQHqT22","file","pdf","564573","application/pdf","https://drive.google.com/file/d/1wZVNbjyeoVP_XsGfgR3M5fcaXLQHqT22/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/03. Planos./02. Muros.","01.Muro_Planta Perfil..dwg","1tmLILw28JijsE52DEB5q-egEjiCR4kCc","file","dwg","2995172","image/vnd.dwg","https://drive.google.com/file/d/1tmLILw28JijsE52DEB5q-egEjiCR4kCc/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/03. Planos./02. Muros.","02. Muro - Concreto Armado_2025-Muro de contencion..pdf","1pW3cR5Hdcdgh2BfkQzRNJ6AccK5bK8BT","file","pdf","721701","application/pdf","https://drive.google.com/file/d/1pW3cR5Hdcdgh2BfkQzRNJ6AccK5bK8BT/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/03. Planos./02. Muros.","02. Muro - Concreto Armado_2025..dwg","1cnHK_23aQMb7vLqmBe2DIEejyQ354VfV","file","dwg","3711900","image/vnd.dwg","https://drive.google.com/file/d/1cnHK_23aQMb7vLqmBe2DIEejyQ354VfV/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/03. Planos.","03. Canal.","16lQr9oOnb8ojPcnUU0rrj0Rfs9CRyfVm","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/16lQr9oOnb8ojPcnUU0rrj0Rfs9CRyfVm"
"ESTRUCTURAS_ESTUDIO/03. Planos./03. Canal.","01. Plano Canal-A1..pdf","1LkJWZVZt1rmf8sUCPzq2JdR4mlckfVpl","file","pdf","512310","application/pdf","https://drive.google.com/file/d/1LkJWZVZt1rmf8sUCPzq2JdR4mlckfVpl/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/03. Planos./03. Canal.","01. Plano Canal..dwg","11FStBywDxu1g_j_EFNTDbRrHKrcD1BsJ","file","dwg","26020010","image/vnd.dwg","https://drive.google.com/file/d/11FStBywDxu1g_j_EFNTDbRrHKrcD1BsJ/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO","04. Anexos.","1ClxR6MG2CLSZfWahGs69BL3-SmMr18qh","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1ClxR6MG2CLSZfWahGs69BL3-SmMr18qh"
"ESTRUCTURAS_ESTUDIO/04. Anexos.","ANEXO 1- INVENTARIO DE OBRAS DE ARTE EXISTENTE.","1wq0JRRoCzQ09C64qIdCL_yB4t2qVVWt6","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1wq0JRRoCzQ09C64qIdCL_yB4t2qVVWt6"
"ESTRUCTURAS_ESTUDIO/04. Anexos./ANEXO 1- INVENTARIO DE OBRAS DE ARTE EXISTENTE.","1 FICHA ALCANTARILLA..pdf","1TrfPwX73qAuti2XOCShGfrbVr57PENuw","file","pdf","8652093","application/pdf","https://drive.google.com/file/d/1TrfPwX73qAuti2XOCShGfrbVr57PENuw/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/04. Anexos./ANEXO 1- INVENTARIO DE OBRAS DE ARTE EXISTENTE.","1 FICHA ALCANTARILLA..xlsx","1ZOC8RCJ0e4vZIm-LZd65o_qj_kEIM1-u","file","xlsx","396232662","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://docs.google.com/spreadsheets/d/1ZOC8RCJ0e4vZIm-LZd65o_qj_kEIM1-u/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"ESTRUCTURAS_ESTUDIO/04. Anexos./ANEXO 1- INVENTARIO DE OBRAS DE ARTE EXISTENTE.","2 INVENTARIO DE SECTORES VULNERALES ..pdf","1dTpmsa_N9gIhzLPoYBXNU9O3ig2COSaD","file","pdf","1276885","application/pdf","https://drive.google.com/file/d/1dTpmsa_N9gIhzLPoYBXNU9O3ig2COSaD/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/04. Anexos./ANEXO 1- INVENTARIO DE OBRAS DE ARTE EXISTENTE.","2 INVENTARIO DE SECTORES VULNERALES ..xlsx","1mvpj2T19_R_zqjd1_J1z_HH_yjVhH9xw","file","xlsx","19327261","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://docs.google.com/spreadsheets/d/1mvpj2T19_R_zqjd1_J1z_HH_yjVhH9xw/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
